User ID,Total Logs,Chat Logs,Image Logs,Total Chat Tokens,Total Image Tokens,Earliest Log,Latest Log
110103209684660457,4,3,1,NaN,0unknown,2023-04-01 13:14:42,2023-04-01 16:58:44
110099629151766466,10,5,5,NaN,0unknownunknownunknownunknownunknown,2023-04-02 01:59:57,2023-04-03 10:00:06
110103209684660457,1,1,0,NaN,0,2023-04-02 13:46:55,2023-04-02 13:46:55
110099629151766466,1,1,0,NaN,0,2023-04-03 17:00:02,2023-04-03 17:00:02
110099629151766466,8,3,5,NaN,0unknownunknownunknownunknownunknown,2023-04-03 18:08:56,2023-04-04 16:00:13
110103209684660457,1,1,0,NaN,0,2023-04-04 16:51:05,2023-04-04 16:51:05
110103209684660457,8,8,0,NaN,0,2023-04-04 17:50:48,2023-04-05 19:16:21
110099629151766466,9,5,4,NaN,0unknownunknownunknownunknown,2023-04-04 21:00:06,2023-04-05 21:00:08
110099629151766466,8,5,3,NaN,0unknownunknownunknown,2023-04-06 12:00:02,2023-04-07 09:00:09
110103209684660457,5,5,0,NaN,0,2023-04-06 13:19:15,2023-04-06 14:41:51
110103209684660457,5,5,0,NaN,0,2023-04-07 14:33:23,2023-04-08 16:59:19
110099629151766466,28,15,13,NaN,0unknownunknownunknownunknownunknownunknownunknownunknownunknownunknownunknownunknownunknown,2023-04-07 16:00:10,2023-04-10 17:00:03
109679793267790822,17,12,5,NaN,0unknownunknownunknownunknownunknown,2023-04-07 17:04:09,2023-04-10 11:52:20
109433512360142358,1,1,0,NaN,0,2023-04-10 09:24:50,2023-04-10 09:24:50
110145942731031929,4,3,1,NaN,0unknown,2023-04-11 10:17:18,2023-04-11 12:10:25
110178159113810309,4,2,2,NaN,0unknownunknown,2023-04-11 12:05:08,2023-04-11 16:00:16
110059133137635624,1,1,0,NaN,0,2023-04-11 12:30:37,2023-04-11 12:30:37
110178159113810309,9,5,4,NaN,0unknownunknownunknownunknown,2023-04-11 17:00:02,2023-04-12 16:00:15
110145942731031929,2,1,1,NaN,0unknown,2023-04-12 11:02:03,2023-04-12 14:44:39
110178159113810309,9,5,4,NaN,0unknownunknownunknownunknown,2023-04-12 17:00:02,2023-04-13 16:00:14
110145942731031929,3,0,0,0,0,2023-04-12 18:31:22,2023-04-13 12:57:56
110178159113810309,8,4,4,NaN,0unknownunknownunknownunknown,2023-04-13 17:00:15,2023-04-14 16:00:14
110178159113810309,9,5,4,NaN,0unknownunknownunknownunknown,2023-04-14 17:00:18,2023-04-15 16:00:15
110145942731031929,8,6,1,NaN,0unknown,2023-04-15 11:36:07,2023-04-15 13:53:49
110178159113810309,8,5,3,NaN,0unknownunknownunknown,2023-04-15 17:00:10,2023-04-16 12:05:08
110145942731031929,1,1,0,NaN,0,2023-04-15 17:04:20,2023-04-15 17:04:20
